player_id,player_name,birthdate
5205,JOHN CARNEY,4/20/1964
10114,JOHN KASAY,10/27/1969
8392,JASON HANSON,6/17/1970
21213,ADAM VINATIERI,12/28/1972
19788,JOE NEDNEY,3/22/1973
21093,OLINDO MARE,6/6/1973
22912,RYAN LONGWELL,8/16/1974
22744,DAVID AKERS,12/9/1974
23860,PHIL DAWSON,1/23/1975
27091,MATT BRYANT,5/29/1975
26215,JAY FEELY,5/23/1976
25479,NEIL RACKERS,8/16/1976
24740,KRIS BROWN,12/23/1976
25947,RIAN LINDELL,1/20/1977
26127,SHAYNE GRAHAM,12/9/1977
27752,ROB BIRONAS,1/29/1978
25326,SEBASTIAN JANIKOWSKI,3/2/1978
26471,LAWRENCE TYNES,5/3/1978
27523,JEFF REED,4/9/1979
28258,JOSH BROWN,4/29/1979
27760,BILLY CUNDIFF,3/30/1980
29803,SHANE ANDRUS,10/2/1980
28187,MIKE SCIFRES,10/8/1980
30231,NICK NOVAK,8/21/1981
30120,SHAUN SUISHAM,12/29/1981
29874,MIKE NUGENT,3/2/1982
29018,NATE KAEDING,3/26/1982
30088,RHYS LLOYD,6/5/1982
29090,JOSH SCOBEE,6/23/1982
30030,DAVE RAYNER,10/26/1982
30403,ROBBIE GOULD,12/6/1982
32353,JUSTIN MEDLOCK,10/23/1983
30932,STEPHEN GOSTKOWSKI,1/28/1984
31446,MATT PRATER,8/10/1984
32386,MASON CROSBY,9/3/1984
33316,BRANDON COUTU,9/29/1984
39866,HAVARD RUGLAND,10/7/1984
32371,NICK FOLK,11/5/1984
35427,CLINT STITSER,5/19/1985
33469,STEVEN HAUSCHKA,6/29/1985
34789,SAMUEL SWANK,10/5/1985
35395,JEFF WOLFERT,10/22/1985
33529,DANIEL CARPENTER,11/25/1985
33677,CONNOR BARTH,4/11/1986
33337,GARRETT HARTLEY,5/16/1986
35918,AARON PETTREY,6/17/1986
38927,WILL BATSON,9/8/1986
34707,RYAN SUCCOP,9/19/1986
34623,DAVID BUEHLER,2/5/1987
35102,GRAHAM GANO,4/9/1987
34673,PATRICK MCAFEE,5/2/1987
34898,SWAYZE WATERS,5/18/1987
38017,JACOB ROGERS,5/24/1987
37195,ALEX HENERY,8/18/1987
38220,KAI FORBATH,9/2/1987
38041,THOMAS WEBER,9/27/1987
38701,GREG ZUERLEIN,12/27/1987
38134,DAN BAILEY,1/26/1988
37849,SPENCER LANNING,5/21/1988
35956,HUNTER LAWRENCE,6/28/1988
35703,GARRETT LINDHOLM,8/10/1988
39369,EDDY CARMONA,9/4/1988
39601,ERIK FOLK,1/26/1989
40640,MAIKON BONANI,1/29/1989
38212,ADI KUNALIC,4/1/1989
39421,DANNY HRAPMANN,4/21/1989
42196,KEVIN GOESSLING,4/22/1989
39932,BRANDON BOGOTAY,5/8/1989
40114,CALEB STURGIS,8/9/1989
40287,QUINN SHARP,11/12/1989
39470,JUSTIN TUCKER,11/21/1989
40775,BRETT MAHER,11/21/1989
38691,RANDY BULLOCK,12/16/1989
38705,BLAIR WALSH,1/8/1990
38782,JOHN POTTER,1/24/1990
40316,BRETT BAER,1/30/1990
38815,JOHNNY HEKKER,2/8/1990
40953,ADAM YATES,2/19/1990
39144,CARSON WIGGS,2/20/1990
40838,JORDAN GAY,3/29/1990
39199,DEREK DIMKE,4/16/1990
38851,GIORGIO TAVECCHIO,7/16/1990
41458,NATE FREESE,8/18/1990
42162,MITCH EWALD,9/2/1990
40125,DUSTIN HOPKINS,10/1/1990
44793,SAM IRWIN-HILL,10/10/1990
40824,JEREMY SHELLEY,10/25/1990
42112,SERGIO CASTILLO,11/1/1990
43068,JOSH LAMBO,11/19/1990
40715,MORGAN LINEBERRY,1/25/1991
41736,CHANDLER CATANZARO,2/26/1991
41953,CHRIS BOSWELL,3/16/1991
41175,JASON MYERS,5/12/1991
41011,PATRICK MURRAY,6/22/1991
42134,ANDREW FURNEY,6/23/1991
43136,COREY ACOSTA,7/12/1991
40276,BRANDON MCMANUS,7/25/1991
41457,ZACH HOCKER,8/23/1991
42133,KASEY REDFERN,9/26/1991
41991,CAIRO SANTOS,11/12/1991
41557,CAREY SPEAR,1/5/1992
41928,TRAVIS COONS,2/6/1992
41688,CODY PARKEY,2/19/1992
41534,RICHIE LEONE,3/10/1992
43040,MIKE MEYER,6/2/1992
42720,KIP SMITH,6/4/1992
42907,MATT WILE,6/20/1992
42098,MICHAEL PALARDY,7/6/1992
43736,MARSHALL KOEHN,8/29/1992
43789,TAYLOR BERTOLET,10/24/1992
43902,JON BROWN,12/7/1992
44240,SAM FICKEN,12/14/1992
42749,ANDREW FRANKS,1/11/1993
42687,KYLE BRINDZA,1/13/1993
42820,TOM OBARSKI,3/12/1993
43815,ROSS MARTIN,7/3/1993
44072,DEVON BELL,7/4/1993
43846,KA'IMI FAIRBAIRN,1/29/1994
46455,KAARE VEDVIK,3/16/1994
43704,NICK ROSE,5/5/1994
43348,ROBERTO AGUAYO,5/17/1994
43689,WIL LUTZ,7/7/1994
45253,KENNY ALLEN,7/8/1994
45576,YOUNGHOE KOO,8/3/1994
46634,GREG JOSEPH,8/4/1994
46663,MATTHEW MCCRANE,9/8/1994
46691,TYLER DAVIS,9/29/1994
43937,ALDRICK ROSAS,12/30/1994
44966,JAKE ELLIOTT,1/21/1995
46236,DANIEL CARLSON,1/23/1995
46409,DAVID MARVIN,4/5/1995
45037,ZANE GONZALEZ,5/7/1995
45046,HARRISON BUTKER,7/14/1995
46342,MICHAEL BADGLEY,7/28/1995
46832,RYAN SANTOSO,8/26/1995
46426,EDDY PINEIRO,9/13/1995
46298,JASON SANDERS,11/16/1995
